,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
93,CHEMBL51361,CC(=O)OCC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)OCc1ccccc1,intermediate,374.39300000000014,1.3340999999999998,0.0,6.0,5.221848749616356
94,CHEMBL2115030,C[C@@H]1C(=O)N(C(=O)C2[C@@H](C)[C@H]2C)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,370.44900000000007,2.673000000000001,0.0,4.0,4.142667503568732
95,CHEMBL50095,CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2S(=O)(=O)CCc1ccccc1,inactive,350.4400000000001,1.0266000000000004,0.0,4.0,4.346787486224656
96,CHEMBL295494,C[C@@H]1C(=O)N(C(=O)C2Cc3ccccc32)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,404.4660000000001,3.1109000000000018,0.0,4.0,4.939302159646388
97,CHEMBL299204,C[C@H]1C(=O)N(C(=O)C2CC2)[C@@H]2CCN(C(=O)CN(C)S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]21,inactive,512.6320000000002,1.9107000000000007,0.0,6.0,4.0
98,CHEMBL298178,CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)C(=O)c1cccn1C,intermediate,317.34499999999997,0.20209999999999928,0.0,5.0,5.301029995663981
99,CHEMBL288793,C[C@@H](NC(=O)N1C(=O)CC1SCc1ccc(CC(=O)OC(C)(C)C)cc1)c1ccccc1,inactive,454.5920000000002,4.833200000000005,1.0,5.0,4.1249387366083
100,CHEMBL35797,CC[C@@H](NC(=O)N1C(=O)CC1SCc1ccccn1)c1ccccc1,intermediate,355.463,3.7341000000000033,1.0,4.0,5.920818753952375
101,CHEMBL286322,C[C@@H](NC(=O)N1C(=O)CC1SCCc1ccccc1)c1ccccc1,intermediate,354.475,3.991500000000004,1.0,3.0,5.187086643357144
102,CHEMBL32559,C[C@@H](NC(=O)N1C(=O)CC1SCc1ccncc1)c1ccccc1,intermediate,341.43600000000004,3.344000000000002,1.0,4.0,5.6777807052660805
